ID	POS	Traditional
B1L01-I-01		陳月美
B1L01-I-02		李明華
B1L01-I-03		王開文
B1L01-I-04	N	你
B1L01-I-05	V	來
B1L01-I-06	Vst	是
B1L01-I-07	N	小姐
B1L01-I-08	Ptc	嗎
B1L01-I-09	V	接
B1L01-I-10	N	我們
B1L01-I-11	N	我
B1L01-I-12	Det	這
B1L01-I-13	N	先生
B1L01-I-14	Vs	好
B1L01-I-15	Vst	姓
B1L01-I-16	Vst	叫
B1L01-I-17	N	你們
B1L01-I-18		臺灣
B1L01-I-18		臺灣 / 台灣
B1L01-I-18		臺灣 台灣
B1L01-I-18		臺灣/台灣
B1L01-I-18		臺灣（＝台灣）
B1L01-I-19		歡迎
B1L01-I-20		請問
B1L01-I-21		是的
B1L01-I-22		謝謝
B1L01-I-23		不客氣
B1L01-I-24		你好
B1L01-II-01	V	請
B1L01-II-02	V	喝
B1L01-II-03	N	茶
B1L01-II-04	Adv	很
B1L01-II-05	Vs	好喝
B1L01-II-06	N	什麼
B1L01-II-07	N	人
B1L01-II-08	Vst	喜歡
B1L01-II-09	Ptc	呢
B1L01-II-10	N	他
B1L01-II-11	Adv	不
B1L01-II-12	Det	哪
B1L01-II-13	Vaux	要
B1L01-II-14	N	咖啡
B1L01-II-15		烏龍茶
B1L01-II-16		日本
B1L01-II-17		美國
B1L01-II-18		對不起
B1L01-II-19		哪國
B1L02-I-01		張怡君
B1L02-I-02		馬安同
B1L02-I-03	Ptc	的
B1L02-I-04	N	家人
B1L02-I-05	N	家
B1L02-I-06	Vs	漂亮
B1L02-I-07	N	房子
B1L02-I-08	Vi	坐
B1L02-I-09	Ptc	好
B1L02-I-10	Vst	有
B1L02-I-11	Vs-pred	多
B1L02-I-12	N	照片
B1L02-I-13	Adv	都
B1L02-I-14	V-sep	照相
B1L02-I-15	M	張
B1L02-I-16	Vs	好看
B1L02-I-17	N	誰
B1L02-I-18	N	姐姐
B1L02-I-19	N	妹妹
B1L02-I-20	N	爸爸
B1L02-I-21	N	媽媽
B1L02-I-22		請 進
B1L02-I-22		請進
B1L02-II-01		田中誠一
B1L02-II-02	N	伯母
B1L02-II-03	N	您
B1L02-II-04	N	名字
B1L02-II-05	N	書
B1L02-II-06	N	哥哥
B1L02-II-07	N	老師
B1L02-II-08	V-sep	看書
B1L02-II-09	N	幾
B1L02-II-10	M	個
B1L02-II-11	Adv	沒
B1L02-II-12	N	兄弟
B1L02-II-13	N	姐妹
B1L02-II-14	N	五
B1L02-II-15	N	兩
B1L03-I-01	N	週末
B1L03-I-02	V	聽
B1L03-I-03	N	音樂
B1L03-I-04	Vi	運動
B1L03-I-05	V	打
B1L03-I-06	N	網球
B1L03-I-07	N	棒球
B1L03-I-08	Conj	和
B1L03-I-09	V-sep	游泳
B1L03-I-10	Adv	常
B1L03-I-11	N	籃球
B1L03-I-12	Adv	也
B1L03-I-13	V	踢
B1L03-I-14	N	足球
B1L03-I-15	Vst	覺得
B1L03-I-16	Vs	好玩
B1L03-I-17	N	明天
B1L03-I-18	N	早上
B1L03-I-19	V	去
B1L03-I-20	Vs	怎麼樣
B1L03-I-21	Ptc	啊
B1L03-I-22		做什麼
B1L03-I-23		好啊
B1L03-II-01		白如玉
B1L03-II-02	N	今天
B1L03-II-03	N	晚上
B1L03-II-04	V	看
B1L03-II-05	N	電影
B1L03-II-06	N	妳
B1L03-II-07	Vaux	想
B1L03-II-08	Conj	還是
B1L03-II-09	Ptc	吧
B1L03-II-10	Vaux	可以
B1L03-II-11	V	學
B1L03-II-12	N	中文
B1L03-II-13	Adv	一起
B1L03-II-14	V	吃
B1L03-II-15	N	晚飯
B1L03-II-16	N	菜
B1L03-II-17		越南
B1L03-II-18		好不好
B1L04-I-01	Adv	一共
B1L04-I-02	N	多少
B1L04-I-03	N	錢
B1L04-I-04	N	老闆
B1L04-I-05	V	買
B1L04-I-06	M	杯
B1L04-I-07	Vs	熱
B1L04-I-08	N	包子
B1L04-I-09	V	要
B1L04-I-10	Vs	大
B1L04-I-11	Vs-attr	中
B1L04-I-12	Vs	小
B1L04-I-13	Prep	幫
B1L04-I-14	V	微波
B1L04-I-15	N	百
B1L04-I-16	M	塊
B1L04-I-17		好的
B1L04-I-18		外帶
B1L04-I-19		內用
B1L04-II-01	M	支
B1L04-II-02	Vs	新
